Question,A,B,C,D,Correct Answer,Feedback / Explanation
"A salesperson takes a listing, but the terminology of the listing doesn't authorize the listing broker to accept a deposit from a potential buyer. The broker should advise the salesperson that:",it is the broker's implied right to deny the deposit for legal liability.,it is the broker's implied right to accept a deposit on behalf of the seller for any offer.,the broker will not be able to accept a deposit from the offeror.,"a deposit can be accepted and retained by the broker from the offeror, but only as an agent of the offeror for that one act.",D,"If a broker is not authorized by the seller to accept a deposit, general laws of agency allow the broker to be the agent of the buyer (offeror) for that one act. This means that the seller's broker will have fiduciary duties to the potential buyer for the deposit, but only for the deposit."
Which of the following is not essential to the creation of an agency relationship?,Agreement requiring representation,Competency of the principal,Consent of the principal,Agreement to pay consideration,D,An agreement to pay consideration is not essential to create an agency relationship.
Ethical practices of a real estate licensee most nearly means:,"The licensee's honesty and fairness in dealing with the public, clients and associates and customers.",Being held in the high esteem by the peers and the public,Efficient and effective business practices,Knowledge and respect for the law,A,"Ethical practices is the utilization of honesty, integrity, fairness, and responsibility when working with not only clients, but with associates, customers, and the public in general."
In which of the following ways could an agency relationship not be created?,Oral contract,Voluntary offer by the agent,Written contract,Implied contract,B,"An offer by an agent is not enough to create an agency relationship- there must be some consent (implied, written or oral) by the principal."
"If a principal no longer desires the broker to act for him during the period of an exclusive right to sell listing, he may:",Revoke the agency created by the listing contract but may be liable for damages,Not revoke the agency because an exclusive right to sell listing is an irrevocable contract,Be forced to sell his property,None of the other options are correct,A,"A seller can terminate a broker before the expiration of the Listing, but he may be liable for damages to the broker in this instance."
"In addition to the duties of diligence, care, and skill, a real estate agent owes the principal a full disclosure of all facts material to the subject of the agency. Any intentional concealment of such facts by the agent would probably be regarded as:",an anti-trust violation.,misrepresentation.,conversion.,commingling.,B,"Misrepresentation by a licensee will subject that licensee not only to disciplinary action, but potential civil and criminal suits as well. Misrepresentation can be fraudulent, negligent, or innocent. In this case, the only answer that is correct is ""misrepresentation"", as constructive fraud isn't necessarily intentional and commingling/conversion do not apply."
"Broker Carr, with ABC Real Estate Company, listed a property with a seller. Broker Smith, with XYZ Real Estate Company, called Broker Carr and disclosed that he was working with a buyer. Broker Smith wrote a purchase offer with his buyer for the property. What, if any, is the relationship between the buyer's broker and the listing broker?",Agency,There is not a relationship between the brokers- Broker Carr represents the seller and Broker Smith represents the buyer.,Customer,Dual agency,B,"Since each broker represents separate sides in the transaction, no relationship exists."
"If two parties want to create an enforceable broker-principal relationship concerning a right, title, or interest in real property, the most essential element to do so would be:",a purchase agreement.,the authority to accept a deposit.,an agreement about the commission.,an employment contract.,D,"The most essential element of an enforceable broker-principal relationship is the employment contract. A listing is the most common employment contract, but licensees can broker leases and broker for buyers as well. The phrasing of this question may seem confusing. It is important to practice questions like these as the questions on the actual exam are written in a similar way."
"The words ""procuring cause"" would have an important meaning to which of the following:",When securing a listing,A dispute over commission on an exclusive agency listing,The sale of government land,A lawsuit against a licensee involving fraud,B,Procuring cause is the act of the broker which is instrumental in effecting the meeting of minds between the seller and the buyer as to price and terms. It is one of the requisites for entitlement to commission. Procuring cause basically means that you are the reason the buyer is there to purchase the property.
Which of the following represents the minimum time period for an exclusive right to sell listing?,90 days,6 months,Whatever is agreed upon by the seller and the broker,45 days,C,"Often listings are for 6 months, sometimes you see 90 day listings. However, that is an industry standard- not the law. The length of a listing can be whatever is agreed upon between the seller and the broker."
A listing broker may legally refuse to present a proper offer on the property to the seller when:,the broker is acting as a gratuitous agent.,the broker is a dual agent.,the broker is acting on the express instructions from the seller.,the broker plans to purchase the property himself.,C,"A licensee is obligated to present all written offers to a seller immediately, unless it is a frivolous offer or if the licensee has been instructed by the seller not to present certain offers."
"If a broker is an agent of a seller, he owes to the buyer:",Only a duty to disclose any items which relate directly to the sales price;,Only the duty to answer questions honestly;,The same fiduciary obligations;,A duty of fair and honest dealing,D,"A broker acting as an agent of the seller should be fair and honest with the buyer, but the fiduciary duty still lies solely with the seller."
"When serving as a buyer's agent, according to the Civil Code sections dealing with agency, a licensee owes a fiduciary duty:",To the broker,To the buyer and seller,To the buyer,To the seller,C,"An agent who is representing the buyer owes a fiduciary duty to the buyer only, not to anybody else."
The broker who most qualifies for a commission is the one who:,gave the offer to the seller.,received the acceptance of an offer.,received the offer from the buyer.,communicated the acceptance to the buyer.,D,"The broker who most qualifies for a commission is the one who has communicated the acceptance to the buyer, as this is the broker who ""consummated"" (or finished) the deal."
