Question,A,B,C,D,Correct Answer,Feedback / Explanation
Two owners have separate deeds but equal ownership. What form of ownership is this?,Joint tenants,Tenants in common,Tenants by entirety,Lessor and lessee,B,Tenants in common allows each owner to hold a separate deed while sharing ownership.
"Red River, a navigable stream, forms the boundary between farmer Brown's property and that of a neighbor, Smith. Neighbor Smith allows a canoeist to cross the property to gain access to the river. The water traffic annoys farmer Brown. Does Brown have the right to stop the canoeist from using the river?","No, since Red River is a navigable stream.","Yes, since Brown is a riparian owner and owns to the center of the stream.","Yes, since Brown is a riparian owner and owns the bed of the stream.","Since Brown is a riparian owner, he owns the stream to the middle and can prevent the canoeist from using his one-half of the stream.",B,Riparian owners on navigable streams own to the center line and may restrict access to their half.
Which of the following cannot be depreciated for tax purposes?,Land,Buildings,Machinery,Office buildings,A,"Land is not subject to wear and tear, so it cannot be depreciated."
What is the best way to determine if there is an encroachment on your property?,Survey,Title search,Title insurance,Affidavit of title,A,A survey precisely shows boundaries and reveals encroachments.
A zoning law states that no structure on any lot can be constructed within 15 feet of the lot line. One owner obtained a one-time approval from the zoning board to build to a point 10 feet from the lot line. What did the zoning board grant that owner?,Building permit,Variance,Non-conforming use permit,Spot zoning permit,A,A variance allows deviation from zoning requirements for one property.
"In real estate sales, when a cooperating sub-agent performs acts, the agent is:",Not responsible since they are with another company.,Responsible only if they know of the acts.,Fully responsible for the acts of the sub-agent.,Partially responsible for the acts of the sub-agent.,B,An agent is liable if they are aware of the sub-agents improper acts.
Destruction of subject property terminates the agency relationship by:,Consent of the agent and principal,Reliction by the agent,Operation of law,Renunciation by the principal,C,Loss of the property ends the agency automatically by law.
"Property owned by James was sold at a tax sale. He may regain full ownership by payment of the taxes, interest, and other charges within a specified time. What is this process called?",Redemption,Repossessing,Accretion,Equitable right,C,The statutory right of redemption lets an owner reclaim property after a tax sale.
What is usually true of contracts made by minors?,They are enforceable by all parties.,They are bilateral.,They are voidable by the vendee.,They are voidable by the vendor.,A,"Minors can enforce contracts, but others cannot enforce against them without their consent."
An easement passes over an Smiths land to allow Jones access to an adjacent parcel owned by Jones. What term would apply to Jones land?,Number one estate,Servient estate,Dominant estate,Easement appurtenant,C,The dominant estate benefits from the easement.
